Subj,D,risk_1d
226,0.467177,0.3916874
227,0.385866,0.8522467
228,-0.534952,-0.3708196
229,-0.512244,-0.7485676
230,0.466137,0.69406399
231,0.403547,-0.2290092
232,-0.0914643,-0.71164955
233,-0.559525,-0.2077174
234,-0.600421,-0.09014831
235,0.443514,0.61174169
236,0.339975,1.30142319
237,-0.470402,0.15529391
238,-0.586878,0.4065321
239,0.383597,0.7869096
240,-0.595243,0.32067941
241,-0.556165,-0.33036751
242,0.378112,0.57333089
243,-0.375941,-0.2275093
244,-0.58124,0.52316109
245,0.516649,0.83800561
246,-0.532732,-0.1033409
247,-0.532298,-0.2503948
248,0.485275,1.306498
249,-0.586003,-0.3654311
250,0.386775,-0.49252211
251,0.408436,-0.50782607
252,-0.498289,-0.3405841
253,-0.480567,-0.2498995
254,0.380935,-0.3478094
255,0.236836,-0.54020345
256,0.410027,0.6695905
257,-0.500314,-0.29419681
258,-0.583281,-0.52441655
259,0.564339,0.61801091
260,0.363202,-0.20417851
261,-0.386281,0.8708644
262,0.450955,0.36475559
263,0.408489,1.09468565
264,-0.320234,-0.61204774
265,0.526171,0.6206108
266,-0.520125,0.424587
267,0.4017,-0.32435564
268,-0.190253,-0.25785725
269,0.441322,0.40265509
270,0.438977,-0.2419748
271,-0.602756,-0.0861884
272,-0.531167,-0.3443654
273,0.478033,-0.26597501
274,0.379195,0.87120281
275,0.517784,1.3883437
276,-0.541147,0.02736859
277,0.562858,-0.76091281
278,-0.055695,0.26410289
279,-0.577057,-0.6244382
280,0.392801,0.5837157
281,0.489563,0.00254559999999992
282,0.448336,0.7943767
283,-0.516213,-0.4946724
284,0.333557,0.25762849
285,-0.638739,-0.00843981000000002
286,0.430587,-0.4437741
287,-0.228106,0.85990183
288,-0.386716,0.5820358
289,0.467018,-0.3480998
290,-0.550461,-0.3392924
291,0.521022,1.3845642
292,0.370056,-0.0919922000000001
293,0.404482,1.00205235
294,0.518005,-0.11292471
295,-0.495174,-0.64853925
296,-0.282193,0.70992001
297,0.358222,-0.30507111
298,0.487295,-0.39077117
299,-0.631016,-0.64617361
